2022/03/24 15:14:59 [emerg] 1#1: host not found in upstream "ts-voucher-service" in /usr/local/openresty/nginx/conf/nginx.conf:298
nginx: [emerg] host not found in upstream "ts-voucher-service" in /usr/local/openresty/nginx/conf/nginx.conf:298
2022/03/24 15:21:03 [error] 7#7: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.19.0.1, server: , request: "GET /api/v1/verifycode/generate HTTP/1.1", upstream: "http://172.19.0.24:15678/api/v1/verifycode/generate", host: "localhost:8080", referrer: "http://localhost:8080/"
172.19.0.1 - - [24/Mar/2022:15:21:03 +0800] "GET /api/v1/verifycode/generate HTTP/1.1" 502 581 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36"
2022/03/24 15:21:03 [error] 7#7: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.19.0.1, server: , request: "GET /api/v1/verifycode/generate HTTP/1.1", upstream: "http://172.19.0.24:15678/api/v1/verifycode/generate", host: "localhost:8080", referrer: "http://localhost:8080/"
172.19.0.1 - - [24/Mar/2022:15:21:03 +0800] "GET /api/v1/verifycode/generate HTTP/1.1" 502 581 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36"
2022/03/24 15:21:09 [error] 7#7: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.19.0.1, server: , request: "GET /api/v1/verifycode/generate HTTP/1.1", upstream: "http://172.19.0.24:15678/api/v1/verifycode/generate", host: "localhost:8080", referrer: "http://localhost:8080/client_login.html"
172.19.0.1 - - [24/Mar/2022:15:21:09 +0800] "GET /api/v1/verifycode/generate HTTP/1.1" 502 581 "http://localhost:8080/client_login.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36"
2022/03/24 15:21:10 [error] 7#7: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.19.0.1, server: , request: "GET /api/v1/verifycode/generate HTTP/1.1", upstream: "http://172.19.0.24:15678/api/v1/verifycode/generate", host: "localhost:8080", referrer: "http://localhost:8080/client_login.html"
172.19.0.1 - - [24/Mar/2022:15:21:10 +0800] "GET /api/v1/verifycode/generate HTTP/1.1" 502 581 "http://localhost:8080/client_login.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36"
172.19.0.1 - - [24/Mar/2022:15:22:39 +0800] "GET /api/v1/verifycode/generate HTTP/1.1" 200 1239 "http://localhost:8080/client_login.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36"
172.19.0.1 - - [24/Mar/2022:15:25:21 +0800] "GET /index.html HTTP/1.1" 200 18128 "-" "python-requests/2.24.0"
172.19.0.1 - - [24/Mar/2022:15:25:21 +0800] "GET /index.html HTTP/1.1" 200 18128 "-" "python-requests/2.24.0"
172.19.0.1 - - [24/Mar/2022:15:25:23 +0800] "POST /api/v1/users/login HTTP/1.1" 200 353 "-" "python-requests/2.24.0"
172.19.0.1 - - [24/Mar/2022:15:25:23 +0800] "POST /api/v1/users/login HTTP/1.1" 200 353 "-" "python-requests/2.24.0"
172.19.0.1 - - [24/Mar/2022:15:25:26 +0800] "POST /api/v1/adminuserservice/users HTTP/1.1" 200 309 "-" "python-requests/2.24.0"
172.19.0.1 - - [24/Mar/2022:15:25:26 +0800] "GET /client_login.html HTTP/1.1" 200 12241 "-" "python-requests/2.24.0"
172.19.0.1 - - [24/Mar/2022:15:25:26 +0800] "POST /api/v1/adminuserservice/users HTTP/1.1" 200 309 "-" "python-requests/2.24.0"
